pair_id,pair_label,variant,family,attack_family,prompt_count,signature_scalars_per_checkpoint,signature_bytes_per_checkpoint_fp32,detection_rate,localization_acc,dominant_mismatch_checkpoint,runtime_ms_per_trace
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,scalar16,scalar,gaussian,200,16,64,0.57,0.57,C2,2.425473
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,scalar16,scalar,stale_replay,200,16,64,0.95,0.95,C2,2.425473
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,scalar16,scalar,wrong_prompt,200,16,64,0.95,0.95,C2,2.425473
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,scalar64,scalar,gaussian,200,64,256,0.85,0.85,C2,2.399442
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,scalar64,scalar,stale_replay,200,64,256,1.0,1.0,C2,2.399442
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,scalar64,scalar,wrong_prompt,200,64,256,1.0,1.0,C2,2.399442
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,gaussian,200,64,256,1.0,1.0,C2,2.706026
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,stale_replay,200,64,256,1.0,1.0,C2,2.706026
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,wrong_prompt,200,64,256,1.0,1.0,C2,2.706026
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos8,projcos,gaussian,200,128,512,1.0,1.0,C2,2.776564
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos8,projcos,stale_replay,200,128,512,1.0,1.0,C2,2.776564
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos8,projcos,wrong_prompt,200,128,512,1.0,1.0,C2,2.776564
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos16,projcos,gaussian,200,256,1024,1.0,1.0,C2,2.937794
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos16,projcos,stale_replay,200,256,1024,1.0,1.0,C2,2.937794
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos16,projcos,wrong_prompt,200,256,1024,1.0,1.0,C2,2.937794
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,scalar16,scalar,gaussian,200,16,64,1.0,1.0,C2,2.615378
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,scalar16,scalar,stale_replay,200,16,64,1.0,1.0,C2,2.615378
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,scalar16,scalar,wrong_prompt,200,16,64,1.0,1.0,C2,2.615378
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,scalar64,scalar,gaussian,200,64,256,1.0,1.0,C2,2.402566
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,scalar64,scalar,stale_replay,200,64,256,1.0,1.0,C2,2.402566
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,scalar64,scalar,wrong_prompt,200,64,256,1.0,1.0,C2,2.402566
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,projcos4,projcos,gaussian,200,64,256,1.0,1.0,C2,2.644501
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,projcos4,projcos,stale_replay,200,64,256,1.0,1.0,C2,2.644501
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,projcos4,projcos,wrong_prompt,200,64,256,1.0,1.0,C2,2.644501
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,projcos8,projcos,gaussian,200,128,512,1.0,1.0,C2,2.720161
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,projcos8,projcos,stale_replay,200,128,512,1.0,1.0,C2,2.720161
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,projcos8,projcos,wrong_prompt,200,128,512,1.0,1.0,C2,2.720161
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,projcos16,projcos,gaussian,200,256,1024,1.0,1.0,C2,2.899946
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,projcos16,projcos,stale_replay,200,256,1024,1.0,1.0,C2,2.899946
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,projcos16,projcos,wrong_prompt,200,256,1024,1.0,1.0,C2,2.899946
