variant,family,scenario,prompt_id,tolerance_mode,percentile,tolerance_scale,signature_scalars_per_checkpoint,signature_bytes_per_checkpoint_fp32,reveal_payload_bytes_per_trace,reference_capture_file_bytes,candidate_capture_file_bytes,metadata_bytes,commitment_head_bytes,commitment_chain_bytes,validator_storage_head_bytes,validator_storage_full_chain_bytes,reference_capture_load_ms,candidate_capture_load_ms,commitment_generation_ms,replay_ms,compare_ms,challenge_latency_ms,detected,first_mismatch_stage,first_mismatch_checkpoint,verdict_bytes
scalar16,scalar,honest_homo,eval_043,global_shared,99.99,1.5,16,64,192,110095,110095,2132,32,96,222540,222604,1.579375,1.647584,0.093792,0.066416,0.002375,3.29575,0,,,186
scalar16,scalar,honest_homo,eval_044,global_shared,99.99,1.5,16,64,192,110045,110045,2132,32,96,222440,222504,1.610458,1.519375,0.083583,0.06475,0.002333,3.196916,0,,,186
scalar16,scalar,honest_homo,eval_045,global_shared,99.99,1.5,16,64,192,110039,110039,2132,32,96,222428,222492,1.516917,1.514,0.077542,0.063667,0.002333,3.096917,0,,,186
scalar16,scalar,honest_homo,eval_046,global_shared,99.99,1.5,16,64,192,110089,110089,2132,32,96,222528,222592,1.642667,1.580334,0.09125,0.065375,0.002417,3.290793,0,,,186
scalar16,scalar,honest_homo,eval_047,global_shared,99.99,1.5,16,64,192,140708,140708,2132,32,96,283766,283830,1.608875,1.621416,0.086959,0.065541,0.002416,3.298248,0,,,186
scalar16,scalar,honest_homo,eval_048,global_shared,99.99,1.5,16,64,192,140709,140709,2132,32,96,283768,283832,1.625417,1.726125,0.100875,0.079375,0.002708,3.433625,0,,,186
scalar16,scalar,honest_homo,eval_049,global_shared,99.99,1.5,16,64,192,140782,140782,2132,32,96,283914,283978,1.730917,1.637875,0.084417,0.0685,0.002459,3.439751,0,,,186
scalar16,scalar,honest_homo,eval_050,global_shared,99.99,1.5,16,64,192,110109,110109,2132,32,96,222568,222632,1.591,1.577125,0.0825,0.06625,0.002333,3.236708,0,,,186
scalar16,scalar,honest_homo,eval_051,global_shared,99.99,1.5,16,64,192,125473,125473,2132,32,96,253296,253360,1.732958,1.547834,0.087042,0.064541,0.002458,3.347791,0,,,186
scalar16,scalar,honest_homo,eval_052,global_shared,99.99,1.5,16,64,192,133158,133158,2132,32,96,268666,268730,1.614584,1.613542,0.084125,0.069459,0.002458,3.300043,0,,,186
scalar16,scalar,honest_homo,eval_053,global_shared,99.99,1.5,16,64,192,117930,117930,2132,32,96,238210,238274,1.638417,1.621416,0.083916,0.065542,0.002334,3.327709,0,,,186
scalar16,scalar,honest_homo,eval_054,global_shared,99.99,1.5,16,64,192,117955,117955,2132,32,96,238260,238324,1.587958,1.510417,0.081042,0.067875,0.002375,3.168625,0,,,186
scalar16,scalar,honest_homo,eval_055,global_shared,99.99,1.5,16,64,192,117827,117827,2132,32,96,238004,238068,1.566333,1.61575,0.0885,0.070375,0.0025,3.254958,0,,,186
scalar16,scalar,honest_homo,eval_056,global_shared,99.99,1.5,16,64,192,117845,117845,2132,32,96,238040,238104,1.637834,1.579167,0.087625,0.065792,0.002375,3.285168,0,,,186
scalar16,scalar,honest_homo,eval_057,global_shared,99.99,1.5,16,64,192,148278,148278,2132,32,96,298906,298970,1.626208,1.616958,0.077916,0.066167,0.002542,3.311875,0,,,186
scalar16,scalar,honest_homo,eval_058,global_shared,99.99,1.5,16,64,192,148424,148424,2132,32,96,299198,299262,1.715125,1.682333,0.093625,0.065875,0.002375,3.465708,0,,,186
scalar16,scalar,honest_homo,eval_059,global_shared,99.99,1.5,16,64,192,148408,148408,2132,32,96,299166,299230,1.786334,1.593916,0.084916,0.065709,0.002375,3.448334,0,,,186
scalar16,scalar,honest_homo,eval_060,global_shared,99.99,1.5,16,64,192,117952,117952,2132,32,96,238254,238318,1.575792,1.581792,0.091166,0.068166,0.0025,3.22825,0,,,186
scalar16,scalar,honest_homo,eval_061,global_shared,99.99,1.5,16,64,192,94729,94729,2132,32,96,191808,191872,1.585209,1.516334,0.083458,0.065291,0.002375,3.169209,0,,,186
